Month,Revenue
2016-10,46566.71
2016-12,19.62
2017-01,127545.66999999987
2017-02,271298.6499999996
2017-03,414369.3900000007
2017-04,390952.1799999996
2017-05,567066.7300000027
2017-06,490225.600000003
2017-07,566403.9300000025
2017-08,646000.6100000023
2017-09,701169.9900000003
2017-10,751140.270000001
2017-11,1153528.0500000005
2017-12,843199.17
2018-01,1078606.8600000006
2018-02,966510.8799999995
2018-03,1120677.9999999956
2018-04,1132933.949999998
2018-05,1128836.6899999997
2018-06,1012090.6799999991
2018-07,1027903.8600000029
2018-08,985414.2799999979
